batch_year,country,n
2024,Germany,7
2024,India,4
2024,Kenya,1
2024,London,6
2024,Mexico,1
2024,Nigeria,2
2024,Singapore,1
2024,Sweden,1
2024,USA,478
2024,United Kingdom,13
2025,Belgium,1
2025,Brazil,1
2025,Canada,4
2025,Colombia,1
2025,Denmark,1
2025,France,3
2025,Germany,3
2025,India,2
2025,London,6
2025,Mexico,1
2025,Netherlands,1
2025,Sweden,3
2025,Switzerland,1
2025,USA,503
2025,United Kingdom,16
2026,Australia,1
2026,Denmark,1
2026,Finland,1
2026,Germany,1
2026,London,1
2026,Sweden,1
2026,USA,211
2026,United Kingdom,2
